Name,Description,URL,Created At,Updated At,Homepage,Size,Stars,Forks,Issues,Watchers,Language,License,Topics,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Is Fork,Is Archived,Is Template,Default Branch
community.general,Ansible Community General Collection,https://github.com/ansible-collections/community.general,2020-02-03T20:01:27+00:00,2025-12-16T15:14:29+00:00,https://galaxy.ansible.com/ui/repo/published/community/general/,40887,1000,1734,796,1000,Python,gpl-3.0,"ansible-collection,hacktoberfest",True,True,True,False,False,False,False,False,False,main
RecurrentGPT,Official Code for Paper: RecurrentGPT: Interactive Generation of (Arbitrarily) Long Text,https://github.com/aiwaves-cn/RecurrentGPT,2023-05-22T15:43:19+00:00,2025-12-11T11:45:07+00:00,,2526,1000,160,15,1000,Python,gpl-3.0,,True,True,True,True,False,False,False,False,False,main
assignment1-basics,Student version of Assignment 1 for Stanford CS336 - Language Modeling From Scratch,https://github.com/stanford-cs336/assignment1-basics,2025-04-02T05:15:17+00:00,2025-12-17T11:43:02+00:00,https://cs336.stanford.edu,13333,1000,1315,8,1000,Python,mit,,True,True,True,False,False,True,False,False,False,main
DDParser,百度开源的依存句法分析系统,https://github.com/baidu/DDParser,2020-08-03T04:45:58+00:00,2025-12-05T19:15:33+00:00,,363,1000,159,15,1000,Python,apache-2.0,"chinese-dependency-parser,chinese-nlp,dependency-parser,dependency-parsing,python,syntax-parser",True,True,True,True,False,False,False,False,False,master
llama-moe,⛷️ LLaMA-MoE: Building Mixture-of-Experts from LLaMA with Continual Pre-training (EMNLP 2024),https://github.com/pjlab-sys4nlp/llama-moe,2023-07-24T06:15:51+00:00,2025-12-15T09:58:30+00:00,https://arxiv.org/abs/2406.16554,1774,1000,64,7,1000,Python,apache-2.0,"continual-pre-training,expert-partition,llama,llm,mixture-of-experts,moe",True,True,True,False,False,False,False,False,False,main
www-project-top-10-for-large-language-model-applications,OWASP Top 10 for Large Language Model Apps (Part of the GenAI Security Project),https://github.com/OWASP/www-project-top-10-for-large-language-model-applications,2023-05-16T15:12:44+00:00,2025-12-17T14:49:01+00:00,http://genai.owasp.org,384258,1000,273,47,1000,Python,other,"ai,appsec,llm,llm-security",True,True,True,True,True,False,False,False,False,main
cms,Contest Management System,https://github.com/cms-dev/cms,2011-10-03T13:37:02+00:00,2025-12-15T11:34:00+00:00,http://cms-dev.github.io/,21150,1000,398,179,1000,Python,agpl-3.0,"competitive-programming,competitive-programming-contests,grading-system,programming-competitions,programming-contests",True,False,True,True,False,True,False,False,False,main
pymc-marketing,"Bayesian marketing toolbox in PyMC. Media Mix (MMM), customer lifetime value (CLV), buy-till-you-die (BTYD) models and more.",https://github.com/pymc-labs/pymc-marketing,2022-03-07T15:11:28+00:00,2025-12-17T09:14:26+00:00,https://www.pymc-marketing.io/,1643349,1000,350,392,1000,Python,apache-2.0,"btyd,buy-till-you-die,clv,customer-lifetime-value,data-science,marketing,marketing-mix-modeling,media-mix-modeling,mmm,python",True,True,True,True,False,True,False,False,False,main
PVE-VDIClient,Proxmox based VDI client,https://github.com/joshpatten/PVE-VDIClient,2022-03-07T18:33:30+00:00,2025-12-15T20:49:02+00:00,,173,1000,142,44,1000,Python,apache-2.0,,True,True,True,True,False,False,False,False,False,main
Efficient-Segmentation-Networks,"Lightweight models for real-time semantic segmentationon PyTorch (include SQNet, LinkNet, SegNet, UNet, ENet, ERFNet, EDANet, ESPNet, ESPNetv2, LEDNet, ESNet, FSSNet, CGNet, DABNet, Fast-SCNN, ContextNet, FPENet, etc.)",https://github.com/xiaoyufenfei/Efficient-Segmentation-Networks,2019-10-07T03:16:07+00:00,2025-12-10T06:28:50+00:00,,1174,1000,165,21,1000,Python,mit,"camvid,cityscapes,computer-vision,driving-scene-understanding,efficient-segmentation-networks,image-segmentation,lightweight-semantic-segmentation,neural-networks,pytorch,real-time-semantic-segmentation,scene-understanding,segmentation,semantic-segmentation,semantic-segmentation-models",True,True,True,True,False,False,False,False,False,master
BGmi,[looking for maintainers] BGmi is a cli tool with Web UI for subscribed bangumi.,https://github.com/BGmi/BGmi,2017-09-13T04:49:14+00:00,2025-12-15T17:43:53+00:00,,15642,1000,30,13,1000,Python,mit,"anime,bangumi,feed,python,python3",True,False,True,False,False,False,False,False,False,master
voltaML-fast-stable-diffusion,Beautiful and Easy to use Stable Diffusion WebUI,https://github.com/VoltaML/voltaML-fast-stable-diffusion,2022-11-14T03:19:52+00:00,2025-12-15T06:58:30+00:00,https://voltaml.github.io/voltaML-fast-stable-diffusion/,70815,1000,80,4,1000,Python,gpl-3.0,"ai-art,aitemplate,generative-art,linux,naive-ui,python,pytorch,rust,stable-diffusion,text2image,typescript,vue,webui,windows",True,True,True,True,True,True,False,False,False,main
geoparquet,"Specification for storing geospatial vector data (point, line, polygon) in Parquet",https://github.com/opengeospatial/geoparquet,2021-07-30T18:06:15+00:00,2025-12-16T15:13:11+00:00,https://geoparquet.org,411,999,63,45,999,Python,apache-2.0,"apache-parquet,cloud-native,geoparquet,geospatial,gis",True,True,True,True,False,True,False,False,False,main
